,name,hashes,best_hashes,lineage
26,Bacteria;Thermotogae;Thermotogae;Thermotogales;Thermotogaceae,504000,504000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Thermotogae'), LineagePair(rank='class', name='Thermotogae'), LineagePair(rank='order', name='Thermotogales'), LineagePair(rank='family', name='Thermotogaceae'))"
27,Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae,496000,496000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'), LineagePair(rank='class', name='Alphaproteobacteria'), LineagePair(rank='order', name='Sphingomonadales'), LineagePair(rank='family', name='Sphingomonadaceae'))"
28,Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanocaldococcaceae,493000,493000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Euryarchaeota'), LineagePair(rank='class', name='Methanococci'), LineagePair(rank='order', name='Methanococcales'), LineagePair(rank='family', name='Methanocaldococcaceae'))"
29,Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae,473000,473000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Firmicutes'), LineagePair(rank='class', name='Clostridia'), LineagePair(rank='order', name='Clostridiales'), LineagePair(rank='family', name='Clostridiaceae'))"
30,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae,462000,376000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'), LineagePair(rank='class', name='Betaproteobacteria'), LineagePair(rank='order', name='Burkholderiales'), LineagePair(rank='family', name='Burkholderiaceae'))"
31,Archaea;Euryarchaeota;;;,430000,430000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Euryarchaeota'), LineagePair(rank='class', name=''), LineagePair(rank='order', name=''), LineagePair(rank='family', name=''))"
32,Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae,371000,371000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Crenarchaeota'), LineagePair(rank='class', name='Thermoprotei'), LineagePair(rank='order', name='Desulfurococcales'), LineagePair(rank='family', name='Desulfurococcaceae'))"
33,Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanococcaceae,354000,354000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Euryarchaeota'), LineagePair(rank='class', name='Methanococci'), LineagePair(rank='order', name='Methanococcales'), LineagePair(rank='family', name='Methanococcaceae'))"
34,Bacteria;Aquificae;Aquificae;Aquificales;Aquificaceae,295000,295000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Aquificae'), LineagePair(rank='class', name='Aquificae'), LineagePair(rank='order', name='Aquificales'), LineagePair(rank='family', name='Aquificaceae'))"
35,Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae,278000,278000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Fusobacteria'), LineagePair(rank='class', name='Fusobacteriia'), LineagePair(rank='order', name='Fusobacteriales'), LineagePair(rank='family', name='Fusobacteriaceae'))"
36,Archaea;Euryarchaeota;Methanopyri;Methanopyrales;Methanopyraceae,235000,235000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Euryarchaeota'), LineagePair(rank='class', name='Methanopyri'), LineagePair(rank='order', name='Methanopyrales'), LineagePair(rank='family', name='Methanopyraceae'))"
37,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;,233000,177000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'), LineagePair(rank='class', name='Betaproteobacteria'), LineagePair(rank='order', name='Burkholderiales'), LineagePair(rank='family', name=''))"
38,Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae,200000,200000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Euryarchaeota'), LineagePair(rank='class', name='Methanomicrobia'), LineagePair(rank='order', name='Methanosarcinales'), LineagePair(rank='family', name='Methanosarcinaceae'))"
39,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae,158000,158000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'), LineagePair(rank='class', name='Gammaproteobacteria'), LineagePair(rank='order', name='Alteromonadales'), LineagePair(rank='family', name='Shewanellaceae'))"
40,Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae,139000,139000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'), LineagePair(rank='class', name='Betaproteobacteria'), LineagePair(rank='order', name='Nitrosomonadales'), LineagePair(rank='family', name='Nitrosomonadaceae'))"
41,Archaea;Nanoarchaeota;;Nanoarchaeales;Nanoarchaeaceae,125000,125000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Nanoarchaeota'), LineagePair(rank='class', name=''), LineagePair(rank='order', name='Nanoarchaeales'), LineagePair(rank='family', name='Nanoarchaeaceae'))"
42,Bacteria;Deinococcus-Thermus;Deinococci;Thermales;Thermaceae,115000,115000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Deinococcus-Thermus'), LineagePair(rank='class', name='Deinococci'), LineagePair(rank='order', name='Thermales'), LineagePair(rank='family', name='Thermaceae'))"
43,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae,110000,110000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'), LineagePair(rank='class', name='Deltaproteobacteria'), LineagePair(rank='order', name='Desulfovibrionales'), LineagePair(rank='family', name='Desulfovibrionaceae'))"
44,Archaea;Euryarchaeota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae,82000,82000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Euryarchaeota'), LineagePair(rank='class', name='Archaeoglobi'), LineagePair(rank='order', name='Archaeoglobales'), LineagePair(rank='family', name='Archaeoglobaceae'))"
