,name,hashes,best_hashes,lineage
26,Bacteria;Dictyoglomi;Dictyoglomia;Dictyoglomales;Dictyoglomaceae;Dictyoglomus,558000,558000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Dictyoglomi'), LineagePair(rank='class', name='Dictyoglomia'), LineagePair(rank='order', name='Dictyoglomales'), LineagePair(rank='family', name='Dictyoglomaceae'), LineagePair(rank='genus', name='Dictyoglomus'))"
27,Bacteria;Chlorobi;Chlorobia;Chlorobiales;Chlorobiaceae;Chlorobium,538000,538000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Chlorobi'), LineagePair(rank='class', name='Chlorobia'), LineagePair(rank='order', name='Chlorobiales'), LineagePair(rank='family', name='Chlorobiaceae'), LineagePair(rank='genus', name='Chlorobium'))"
28,Bacteria;Thermotogae;Thermotogae;Thermotogales;Thermotogaceae;Thermotoga,504000,504000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Thermotogae'), LineagePair(rank='class', name='Thermotogae'), LineagePair(rank='order', name='Thermotogales'), LineagePair(rank='family', name='Thermotogaceae'), LineagePair(rank='genus', name='Thermotoga'))"
29,Bacteria;Aquificae;Aquificae;Aquificales;Hydrogenothermaceae;Sulfurihydrogenibium,497000,497000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Aquificae'), LineagePair(rank='class', name='Aquificae'), LineagePair(rank='order', name='Aquificales'), LineagePair(rank='family', name='Hydrogenothermaceae'), LineagePair(rank='genus', name='Sulfurihydrogenibium'))"
30,Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Zymomonas,496000,496000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'), LineagePair(rank='class', name='Alphaproteobacteria'), LineagePair(rank='order', name='Sphingomonadales'), LineagePair(rank='family', name='Sphingomonadaceae'), LineagePair(rank='genus', name='Zymomonas'))"
31,Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanocaldococcaceae;Methanocaldococcus,493000,493000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Euryarchaeota'), LineagePair(rank='class', name='Methanococci'), LineagePair(rank='order', name='Methanococcales'), LineagePair(rank='family', name='Methanocaldococcaceae'), LineagePair(rank='genus', name='Methanocaldococcus'))"
32,Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Proteiniclasticum,473000,473000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Firmicutes'), LineagePair(rank='class', name='Clostridia'), LineagePair(rank='order', name='Clostridiales'), LineagePair(rank='family', name='Clostridiaceae'), LineagePair(rank='genus', name='Proteiniclasticum'))"
33,Archaea;Euryarchaeota;;;;Aciduliprofundum,430000,430000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Euryarchaeota'), LineagePair(rank='class', name=''), LineagePair(rank='order', name=''), LineagePair(rank='family', name=''), LineagePair(rank='genus', name='Aciduliprofundum'))"
34,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Paraburkholderia,376000,376000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'), LineagePair(rank='class', name='Betaproteobacteria'), LineagePair(rank='order', name='Burkholderiales'), LineagePair(rank='family', name='Burkholderiaceae'), LineagePair(rank='genus', name='Paraburkholderia'))"
35,Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Ignicoccus,371000,371000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Crenarchaeota'), LineagePair(rank='class', name='Thermoprotei'), LineagePair(rank='order', name='Desulfurococcales'), LineagePair(rank='family', name='Desulfurococcaceae'), LineagePair(rank='genus', name='Ignicoccus'))"
36,Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanococcaceae;Methanococcus,354000,354000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Euryarchaeota'), LineagePair(rank='class', name='Methanococci'), LineagePair(rank='order', name='Methanococcales'), LineagePair(rank='family', name='Methanococcaceae'), LineagePair(rank='genus', name='Methanococcus'))"
37,Bacteria;Aquificae;Aquificae;Aquificales;Aquificaceae;Hydrogenobaculum,295000,295000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Aquificae'), LineagePair(rank='class', name='Aquificae'), LineagePair(rank='order', name='Aquificales'), LineagePair(rank='family', name='Aquificaceae'), LineagePair(rank='genus', name='Hydrogenobaculum'))"
38,Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium,278000,278000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Fusobacteria'), LineagePair(rank='class', name='Fusobacteriia'), LineagePair(rank='order', name='Fusobacteriales'), LineagePair(rank='family', name='Fusobacteriaceae'), LineagePair(rank='genus', name='Fusobacterium'))"
39,Archaea;Euryarchaeota;Methanopyri;Methanopyrales;Methanopyraceae;Methanopyrus,235000,235000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Euryarchaeota'), LineagePair(rank='class', name='Methanopyri'), LineagePair(rank='order', name='Methanopyrales'), LineagePair(rank='family', name='Methanopyraceae'), LineagePair(rank='genus', name='Methanopyrus'))"
40,Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanosarcina,200000,200000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Euryarchaeota'), LineagePair(rank='class', name='Methanomicrobia'), LineagePair(rank='order', name='Methanosarcinales'), LineagePair(rank='family', name='Methanosarcinaceae'), LineagePair(rank='genus', name='Methanosarcina'))"
41,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;;Leptothrix,177000,177000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'), LineagePair(rank='class', name='Betaproteobacteria'), LineagePair(rank='order', name='Burkholderiales'), LineagePair(rank='family', name=''), LineagePair(rank='genus', name='Leptothrix'))"
42,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella,158000,158000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'), LineagePair(rank='class', name='Gammaproteobacteria'), LineagePair(rank='order', name='Alteromonadales'), LineagePair(rank='family', name='Shewanellaceae'), LineagePair(rank='genus', name='Shewanella'))"
43,Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosomonas,139000,139000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'), LineagePair(rank='class', name='Betaproteobacteria'), LineagePair(rank='order', name='Nitrosomonadales'), LineagePair(rank='family', name='Nitrosomonadaceae'), LineagePair(rank='genus', name='Nitrosomonas'))"
44,Archaea;Nanoarchaeota;;Nanoarchaeales;Nanoarchaeaceae;Nanoarchaeum,125000,125000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Nanoarchaeota'), LineagePair(rank='class', name=''), LineagePair(rank='order', name='Nanoarchaeales'), LineagePair(rank='family', name='Nanoarchaeaceae'), LineagePair(rank='genus', name='Nanoarchaeum'))"
45,Bacteria;Deinococcus-Thermus;Deinococci;Thermales;Thermaceae;Thermus,115000,115000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Deinococcus-Thermus'), LineagePair(rank='class', name='Deinococci'), LineagePair(rank='order', name='Thermales'), LineagePair(rank='family', name='Thermaceae'), LineagePair(rank='genus', name='Thermus'))"
46,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio,110000,110000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'), LineagePair(rank='class', name='Deltaproteobacteria'), LineagePair(rank='order', name='Desulfovibrionales'), LineagePair(rank='family', name='Desulfovibrionaceae'), LineagePair(rank='genus', name='Desulfovibrio'))"
47,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Caballeronia,86000,86000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'), LineagePair(rank='class', name='Betaproteobacteria'), LineagePair(rank='order', name='Burkholderiales'), LineagePair(rank='family', name='Burkholderiaceae'), LineagePair(rank='genus', name='Caballeronia'))"
48,Archaea;Euryarchaeota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;Archaeoglobus,82000,82000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Euryarchaeota'), LineagePair(rank='class', name='Archaeoglobi'), LineagePair(rank='order', name='Archaeoglobales'), LineagePair(rank='family', name='Archaeoglobaceae'), LineagePair(rank='genus', name='Archaeoglobus'))"
49,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;;Sphaerotilus,56000,56000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'), LineagePair(rank='class', name='Betaproteobacteria'), LineagePair(rank='order', name='Burkholderiales'), LineagePair(rank='family', name=''), LineagePair(rank='genus', name='Sphaerotilus'))"
