,name,hashes,best_hashes,lineage
23,Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Pyrococcus,3578000,1837000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Euryarchaeota'), LineagePair(rank='class', name='Thermococci'), LineagePair(rank='order', name='Thermococcales'), LineagePair(rank='family', name='Thermococcaceae'), LineagePair(rank='genus', name='Pyrococcus'))"
24,Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanococcaceae;Methanococcus,3288000,1775000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Euryarchaeota'), LineagePair(rank='class', name='Methanococci'), LineagePair(rank='order', name='Methanococcales'), LineagePair(rank='family', name='Methanococcaceae'), LineagePair(rank='genus', name='Methanococcus'))"
25,Bacteria;Deinococcus-Thermus;Deinococci;Deinococcales;Deinococcaceae;Deinococcus,3206000,3206000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Deinococcus-Thermus'), LineagePair(rank='class', name='Deinococci'), LineagePair(rank='order', name='Deinococcales'), LineagePair(rank='family', name='Deinococcaceae'), LineagePair(rank='genus', name='Deinococcus'))"
26,Bacteria;Chlorobi;Chlorobia;Chlorobiales;Chlorobiaceae;Pelodictyon,2963000,2963000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Chlorobi'), LineagePair(rank='class', name='Chlorobia'), LineagePair(rank='order', name='Chlorobiales'), LineagePair(rank='family', name='Chlorobiaceae'), LineagePair(rank='genus', name='Pelodictyon'))"
27,Bacteria;Aquificae;Aquificae;Aquificales;Hydrogenothermaceae;Sulfurihydrogenibium,2895000,1777000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Aquificae'), LineagePair(rank='class', name='Aquificae'), LineagePair(rank='order', name='Aquificales'), LineagePair(rank='family', name='Hydrogenothermaceae'), LineagePair(rank='genus', name='Sulfurihydrogenibium'))"
28,Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Treponema,2848000,2848000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Spirochaetes'), LineagePair(rank='class', name='Spirochaetia'), LineagePair(rank='order', name='Spirochaetales'), LineagePair(rank='family', name='Spirochaetaceae'), LineagePair(rank='genus', name='Treponema'))"
29,Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosomonas,2726000,2726000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'), LineagePair(rank='class', name='Betaproteobacteria'), LineagePair(rank='order', name='Nitrosomonadales'), LineagePair(rank='family', name='Nitrosomonadaceae'), LineagePair(rank='genus', name='Nitrosomonas'))"
30,Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia,2701000,2701000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Verrucomicrobia'), LineagePair(rank='class', name='Verrucomicrobiae'), LineagePair(rank='order', name='Verrucomicrobiales'), LineagePair(rank='family', name='Akkermansiaceae'), LineagePair(rank='genus', name='Akkermansia'))"
31,Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus,2688000,2688000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Firmicutes'), LineagePair(rank='class', name='Bacilli'), LineagePair(rank='order', name='Lactobacillales'), LineagePair(rank='family', name='Enterococcaceae'), LineagePair(rank='genus', name='Enterococcus'))"
32,Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfurisphaera,2679000,2679000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Crenarchaeota'), LineagePair(rank='class', name='Thermoprotei'), LineagePair(rank='order', name='Sulfolobales'), LineagePair(rank='family', name='Sulfolobaceae'), LineagePair(rank='genus', name='Sulfurisphaera'))"
33,Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Proteiniclasticum,2653000,2516000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Firmicutes'), LineagePair(rank='class', name='Clostridia'), LineagePair(rank='order', name='Clostridiales'), LineagePair(rank='family', name='Clostridiaceae'), LineagePair(rank='genus', name='Proteiniclasticum'))"
34,Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium,2463000,2463000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Fusobacteria'), LineagePair(rank='class', name='Fusobacteriia'), LineagePair(rank='order', name='Fusobacteriales'), LineagePair(rank='family', name='Fusobacteriaceae'), LineagePair(rank='genus', name='Fusobacterium'))"
35,Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;Thermoanaerobacteraceae;Thermoanaerobacter,2209000,2209000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Firmicutes'), LineagePair(rank='class', name='Clostridia'), LineagePair(rank='order', name='Thermoanaerobacterales'), LineagePair(rank='family', name='Thermoanaerobacteraceae'), LineagePair(rank='genus', name='Thermoanaerobacter'))"
36,Bacteria;Chlorobi;Chlorobia;Chlorobiales;Chlorobiaceae;Chlorobaculum,2165000,2165000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Chlorobi'), LineagePair(rank='class', name='Chlorobia'), LineagePair(rank='order', name='Chlorobiales'), LineagePair(rank='family', name='Chlorobiaceae'), LineagePair(rank='genus', name='Chlorobaculum'))"
37,Archaea;Euryarchaeota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;Archaeoglobus,2139000,2139000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Euryarchaeota'), LineagePair(rank='class', name='Archaeoglobi'), LineagePair(rank='order', name='Archaeoglobales'), LineagePair(rank='family', name='Archaeoglobaceae'), LineagePair(rank='genus', name='Archaeoglobus'))"
38,Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Zymomonas,2130000,2130000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'), LineagePair(rank='class', name='Alphaproteobacteria'), LineagePair(rank='order', name='Sphingomonadales'), LineagePair(rank='family', name='Sphingomonadaceae'), LineagePair(rank='genus', name='Zymomonas'))"
39,Bacteria;Deinococcus-Thermus;Deinococci;Thermales;Thermaceae;Thermus,2128000,2128000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Deinococcus-Thermus'), LineagePair(rank='class', name='Deinococci'), LineagePair(rank='order', name='Thermales'), LineagePair(rank='family', name='Thermaceae'), LineagePair(rank='genus', name='Thermus'))"
40,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas,2109000,2109000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Bacteroidetes'), LineagePair(rank='class', name='Bacteroidia'), LineagePair(rank='order', name='Bacteroidales'), LineagePair(rank='family', name='Porphyromonadaceae'), LineagePair(rank='genus', name='Porphyromonas'))"
41,Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Wolinella,2030000,2030000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'), LineagePair(rank='class', name='Epsilonproteobacteria'), LineagePair(rank='order', name='Campylobacterales'), LineagePair(rank='family', name='Helicobacteraceae'), LineagePair(rank='genus', name='Wolinella'))"
42,Bacteria;Aquificae;Aquificae;Aquificales;Hydrogenothermaceae;Persephonella,1997000,1997000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Aquificae'), LineagePair(rank='class', name='Aquificae'), LineagePair(rank='order', name='Aquificales'), LineagePair(rank='family', name='Hydrogenothermaceae'), LineagePair(rank='genus', name='Persephonella'))"
43,Bacteria;Dictyoglomi;Dictyoglomia;Dictyoglomales;Dictyoglomaceae;Dictyoglomus,1839000,1839000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Dictyoglomi'), LineagePair(rank='class', name='Dictyoglomia'), LineagePair(rank='order', name='Dictyoglomales'), LineagePair(rank='family', name='Dictyoglomaceae'), LineagePair(rank='genus', name='Dictyoglomus'))"
44,Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanocaldococcaceae;Methanocaldococcus,1679000,1679000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Euryarchaeota'), LineagePair(rank='class', name='Methanococci'), LineagePair(rank='order', name='Methanococcales'), LineagePair(rank='family', name='Methanocaldococcaceae'), LineagePair(rank='genus', name='Methanocaldococcus'))"
45,Archaea;Euryarchaeota;Methanopyri;Methanopyrales;Methanopyraceae;Methanopyrus,1631000,1631000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Euryarchaeota'), LineagePair(rank='class', name='Methanopyri'), LineagePair(rank='order', name='Methanopyrales'), LineagePair(rank='family', name='Methanopyraceae'), LineagePair(rank='genus', name='Methanopyrus'))"
46,Bacteria;Aquificae;Aquificae;Aquificales;Aquificaceae;Hydrogenobaculum,1595000,1595000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Aquificae'), LineagePair(rank='class', name='Aquificae'), LineagePair(rank='order', name='Aquificales'), LineagePair(rank='family', name='Aquificaceae'), LineagePair(rank='genus', name='Hydrogenobaculum'))"
47,Archaea;Euryarchaeota;;;;Aciduliprofundum,1477000,1477000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Euryarchaeota'), LineagePair(rank='class', name=''), LineagePair(rank='order', name=''), LineagePair(rank='family', name=''), LineagePair(rank='genus', name='Aciduliprofundum'))"
48,Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Ignicoccus,1284000,1284000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Crenarchaeota'), LineagePair(rank='class', name='Thermoprotei'), LineagePair(rank='order', name='Desulfurococcales'), LineagePair(rank='family', name='Desulfurococcaceae'), LineagePair(rank='genus', name='Ignicoccus'))"
49,Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus,773000,474000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Firmicutes'), LineagePair(rank='class', name='Bacilli'), LineagePair(rank='order', name='Lactobacillales'), LineagePair(rank='family', name='Streptococcaceae'), LineagePair(rank='genus', name='Streptococcus'))"
50,Archaea;Nanoarchaeota;;Nanoarchaeales;Nanoarchaeaceae;Nanoarchaeum,431000,431000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Nanoarchaeota'), LineagePair(rank='class', name=''), LineagePair(rank='order', name='Nanoarchaeales'), LineagePair(rank='family', name='Nanoarchaeaceae'), LineagePair(rank='genus', name='Nanoarchaeum'))"
51,Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas,211000,211000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'), LineagePair(rank='class', name='Gammaproteobacteria'), LineagePair(rank='order', name='Xanthomonadales'), LineagePair(rank='family', name='Xanthomonadaceae'), LineagePair(rank='genus', name='Stenotrophomonas'))"
52,Bacteria;Cyanobacteria;;Chroococcales;;,195000,195000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Cyanobacteria'), LineagePair(rank='class', name=''), LineagePair(rank='order', name='Chroococcales'), LineagePair(rank='family', name=''), LineagePair(rank='genus', name=''))"
53,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia,119000,119000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'), LineagePair(rank='class', name='Gammaproteobacteria'), LineagePair(rank='order', name='Enterobacterales'), LineagePair(rank='family', name='Enterobacteriaceae'), LineagePair(rank='genus', name='Escherichia'))"
